id,color,type,stock,branchId,createdAt,updatedAt
1,apple green,pro,59,1,2023-06-13T08:14:38,2023-06-13T08:14:38
2,apple white,pro,38,1,2023-06-13T08:14:38,2023-06-13T08:14:38
3,avocado,pro,29,1,2023-06-13T08:14:38,2023-06-13T08:14:38
4,banana leaf,pro,31,1,2023-06-13T08:14:38,2023-06-13T08:14:38
5,black,pro,40,1,2023-06-13T08:14:38,2023-06-13T08:14:38
6,blue,pro,29,1,2023-06-13T08:14:38,2023-06-13T08:14:38
7,blue excellent,pro,22,1,2023-06-13T08:14:38,2023-06-13T08:14:38
8,blue white,pro,54,1,2023-06-13T08:14:38,2023-06-13T08:14:38
9,broken white,pro,45,1,2023-06-13T08:14:38,2023-06-13T08:14:38
10,chocolate,pro,25,1,2023-06-13T08:14:38,2023-06-13T08:14:38
11,cream,pro,15,1,2023-06-13T08:14:38,2023-06-13T08:14:38
12,cream gold,pro,53,1,2023-06-13T08:14:38,2023-06-13T08:14:38
13,flower pot,pro,29,1,2023-06-13T08:14:38,2023-06-13T08:14:38
14,green,pro,39,1,2023-06-13T08:14:38,2023-06-13T08:14:38
15,grey,pro,39,1,2023-06-13T08:14:38,2023-06-13T08:14:38
16,grey silver,pro,33,1,2023-06-13T08:14:38,2023-06-13T08:14:38
17,lemon,pro,33,1,2023-06-13T08:14:38,2023-06-13T08:14:38
18,malachite,pro,53,1,2023-06-13T08:14:38,2023-06-13T08:14:38
19,orange,pro,10,1,2023-06-13T08:14:38,2023-06-13T08:14:38
20,perfect pink,pro,46,1,2023-06-13T08:14:38,2023-06-13T08:14:38
21,pink,pro,36,1,2023-06-13T08:14:38,2023-06-13T08:14:38
22,pink mambo,pro,35,1,2023-06-13T08:14:38,2023-06-13T08:14:38
23,red coral,pro,50,1,2023-06-13T08:14:38,2023-06-13T08:14:38
24,salem,pro,30,1,2023-06-13T08:14:38,2023-06-13T08:14:38
25,stabilo,pro,55,1,2023-06-13T08:14:38,2023-06-13T08:14:38
26,Surf green,pro,53,1,2023-06-13T08:14:38,2023-06-13T08:14:38
27,violet,pro,21,1,2023-06-13T08:14:38,2023-06-13T08:14:38
28,white,pro,33,1,2023-06-13T08:14:38,2023-06-13T08:14:38
29,white excellent,pro,36,1,2023-06-13T08:14:38,2023-06-13T08:14:38
30,yellow,pro,48,1,2023-06-13T08:14:38,2023-06-13T08:14:38
31,yellow canary,pro,25,1,2023-06-13T08:14:38,2023-06-13T08:14:38
32,apple green,super,16,1,2023-06-13T08:14:38,2023-06-13T08:14:38
33,apple white,super,17,1,2023-06-13T08:14:38,2023-06-13T08:14:38
34,avocado,super,27,1,2023-06-13T08:14:38,2023-06-13T08:14:38
35,black,super,21,1,2023-06-13T08:14:38,2023-06-13T08:14:38
36,blue,super,36,1,2023-06-13T08:14:38,2023-06-13T08:14:38
37,blue excellent,super,11,1,2023-06-13T08:14:38,2023-06-13T08:14:38
38,blue white,super,15,1,2023-06-13T08:14:38,2023-06-13T08:14:38
39,bosco blue,super,43,1,2023-06-13T08:14:38,2023-06-13T08:14:38
40,broken white,super,57,1,2023-06-13T08:14:38,2023-06-13T08:14:38
41,caroline,super,11,1,2023-06-13T08:14:38,2023-06-13T08:14:38
42,cream,super,54,1,2023-06-13T08:14:38,2023-06-13T08:14:38
43,cream gold,super,20,1,2023-06-13T08:14:38,2023-06-13T08:14:38
44,flower pot,super,24,1,2023-06-13T08:14:38,2023-06-13T08:14:38
45,grey,super,33,1,2023-06-13T08:14:38,2023-06-13T08:14:38
46,grey silver,super,13,1,2023-06-13T08:14:38,2023-06-13T08:14:38
47,hulahop,super,54,1,2023-06-13T08:14:38,2023-06-13T08:14:38
48,lavender,super,40,1,2023-06-13T08:14:38,2023-06-13T08:14:38
49,lemon,super,27,1,2023-06-13T08:14:38,2023-06-13T08:14:38
50,lemon jazz,super,14,1,2023-06-13T08:14:38,2023-06-13T08:14:38
51,liberty,super,18,1,2023-06-13T08:14:38,2023-06-13T08:14:38
