id;color;type;stock;branchId;createdAt;updatedAt
1;apple green;pro;59;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
2;apple white;pro;38;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
3;avocado;pro;29;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
4;banana leaf;pro;31;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
5;black;pro;40;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
6;blue;pro;29;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
7;blue excellent;pro;22;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
8;blue white;pro;54;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
9;broken white;pro;45;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
10;chocolate;pro;25;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
11;cream;pro;15;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
12;cream gold;pro;53;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
13;flower pot;pro;29;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
14;green;pro;39;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
15;grey;pro;39;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
16;grey silver;pro;33;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
17;lemon;pro;33;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
18;malachite;pro;53;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
19;orange;pro;10;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
20;perfect pink;pro;46;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
21;pink;pro;36;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
22;pink mambo;pro;35;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
23;red coral;pro;50;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
24;salem;pro;30;1;2023-06-13T08:14:38.690Z;2023-06-13T08:14:38.690Z
