id,color,type,stock,branchId,createdAt,updatedAt
421,apple green,pro,59,5,2023-06-13T08:14:38,2023-06-13T08:14:38
422,apple white,pro,38,5,2023-06-13T08:14:38,2023-06-13T08:14:38
423,avocado,pro,29,5,2023-06-13T08:14:38,2023-06-13T08:14:38
424,banana leaf,pro,31,5,2023-06-13T08:14:38,2023-06-13T08:14:38
425,black,pro,40,5,2023-06-13T08:14:38,2023-06-13T08:14:38
426,blue,pro,29,5,2023-06-13T08:14:38,2023-06-13T08:14:38
427,blue excellent,pro,22,5,2023-06-13T08:14:38,2023-06-13T08:14:38
428,blue white,pro,54,5,2023-06-13T08:14:38,2023-06-13T08:14:38
429,broken white,pro,45,5,2023-06-13T08:14:38,2023-06-13T08:14:38
430,chocolate,pro,25,5,2023-06-13T08:14:38,2023-06-13T08:14:38
431,cream,pro,15,5,2023-06-13T08:14:38,2023-06-13T08:14:38
432,cream gold,pro,53,5,2023-06-13T08:14:38,2023-06-13T08:14:38
433,flower pot,pro,29,5,2023-06-13T08:14:38,2023-06-13T08:14:38
434,green,pro,39,5,2023-06-13T08:14:38,2023-06-13T08:14:38
435,grey,pro,39,5,2023-06-13T08:14:38,2023-06-13T08:14:38
436,grey silver,pro,33,5,2023-06-13T08:14:38,2023-06-13T08:14:38
437,lemon,pro,33,5,2023-06-13T08:14:38,2023-06-13T08:14:38
438,malachite,pro,53,5,2023-06-13T08:14:38,2023-06-13T08:14:38
439,orange,pro,10,5,2023-06-13T08:14:38,2023-06-13T08:14:38
440,perfect pink,pro,46,5,2023-06-13T08:14:38,2023-06-13T08:14:38
441,pink,pro,36,5,2023-06-13T08:14:38,2023-06-13T08:14:38
442,pink mambo,pro,35,5,2023-06-13T08:14:38,2023-06-13T08:14:38
443,red coral,pro,50,5,2023-06-13T08:14:38,2023-06-13T08:14:38
444,salem,pro,30,5,2023-06-13T08:14:38,2023-06-13T08:14:38
445,stabilo,pro,55,5,2023-06-13T08:14:38,2023-06-13T08:14:38
446,Surf green,pro,53,5,2023-06-13T08:14:38,2023-06-13T08:14:38
447,violet,pro,21,5,2023-06-13T08:14:38,2023-06-13T08:14:38
448,white,pro,33,5,2023-06-13T08:14:38,2023-06-13T08:14:38
449,white excellent,pro,36,5,2023-06-13T08:14:38,2023-06-13T08:14:38
450,yellow,pro,48,5,2023-06-13T08:14:38,2023-06-13T08:14:38
451,yellow canary,pro,25,5,2023-06-13T08:14:38,2023-06-13T08:14:38
452,apple green,super,16,5,2023-06-13T08:14:38,2023-06-13T08:14:38
453,apple white,super,17,5,2023-06-13T08:14:38,2023-06-13T08:14:38
454,avocado,super,27,5,2023-06-13T08:14:38,2023-06-13T08:14:38
455,black,super,21,5,2023-06-13T08:14:38,2023-06-13T08:14:38
456,blue,super,36,5,2023-06-13T08:14:38,2023-06-13T08:14:38
457,blue excellent,super,11,5,2023-06-13T08:14:38,2023-06-13T08:14:38
458,blue white,super,15,5,2023-06-13T08:14:38,2023-06-13T08:14:38
459,bosco blue,super,43,5,2023-06-13T08:14:38,2023-06-13T08:14:38
460,broken white,super,57,5,2023-06-13T08:14:38,2023-06-13T08:14:38
461,caroline,super,11,5,2023-06-13T08:14:38,2023-06-13T08:14:38
462,cream,super,54,5,2023-06-13T08:14:38,2023-06-13T08:14:38
463,cream gold,super,20,5,2023-06-13T08:14:38,2023-06-13T08:14:38
464,flower pot,super,24,5,2023-06-13T08:14:38,2023-06-13T08:14:38
465,grey,super,33,5,2023-06-13T08:14:38,2023-06-13T08:14:38
466,grey silver,super,13,5,2023-06-13T08:14:38,2023-06-13T08:14:38
467,hulahop,super,54,5,2023-06-13T08:14:38,2023-06-13T08:14:38
468,lavender,super,40,5,2023-06-13T08:14:38,2023-06-13T08:14:38
469,lemon,super,27,5,2023-06-13T08:14:38,2023-06-13T08:14:38
470,lemon jazz,super,14,5,2023-06-13T08:14:38,2023-06-13T08:14:38
471,liberty,super,18,5,2023-06-13T08:14:38,2023-06-13T08:14:38
472,orange,super,13,5,2023-06-13T08:14:38,2023-06-13T08:14:38
473,peach,super,39,5,2023-06-13T08:14:38,2023-06-13T08:14:38
474,pepper green,super,31,5,2023-06-13T08:14:38,2023-06-13T08:14:38
475,pink,super,26,5,2023-06-13T08:14:38,2023-06-13T08:14:38
476,pink mambo,super,42,5,2023-06-13T08:14:38,2023-06-13T08:14:38
477,red,super,58,5,2023-06-13T08:14:38,2023-06-13T08:14:38
478,red coral,super,16,5,2023-06-13T08:14:38,2023-06-13T08:14:38
479,red mambo,super,15,5,2023-06-13T08:14:38,2023-06-13T08:14:38
480,stabilo,super,51,5,2023-06-13T08:14:38,2023-06-13T08:14:38
481,sun flower,super,55,5,2023-06-13T08:14:38,2023-06-13T08:14:38
482,Surf green,super,42,5,2023-06-13T08:14:38,2023-06-13T08:14:38
483,violet,super,28,5,2023-06-13T08:14:38,2023-06-13T08:14:38
484,white,super,44,5,2023-06-13T08:14:38,2023-06-13T08:14:38
485,white excellent,super,55,5,2023-06-13T08:14:38,2023-06-13T08:14:38
486,yellow,super,58,5,2023-06-13T08:14:38,2023-06-13T08:14:38
487,apple green,multi,52,5,2023-06-13T08:14:38,2023-06-13T08:14:38
488,apple white,multi,49,5,2023-06-13T08:14:38,2023-06-13T08:14:38
489,avocado,multi,39,5,2023-06-13T08:14:38,2023-06-13T08:14:38
490,black,multi,50,5,2023-06-13T08:14:38,2023-06-13T08:14:38
491,black brown,multi,37,5,2023-06-13T08:14:38,2023-06-13T08:14:38
492,blue,multi,58,5,2023-06-13T08:14:38,2023-06-13T08:14:38
493,blue white,multi,10,5,2023-06-13T08:14:38,2023-06-13T08:14:38
494,besco blue,multi,57,5,2023-06-13T08:14:38,2023-06-13T08:14:38
495,broken white,multi,28,5,2023-06-13T08:14:38,2023-06-13T08:14:38
496,brown,multi,28,5,2023-06-13T08:14:38,2023-06-13T08:14:38
497,caramel,multi,38,5,2023-06-13T08:14:38,2023-06-13T08:14:38
498,cherry natural,multi,13,5,2023-06-13T08:14:38,2023-06-13T08:14:38
499,chili red,multi,56,5,2023-06-13T08:14:38,2023-06-13T08:14:38
500,cream,multi,38,5,2023-06-13T08:14:38,2023-06-13T08:14:38
501,cream gold,multi,51,5,2023-06-13T08:14:38,2023-06-13T08:14:38
502,cyanine blue,multi,20,5,2023-06-13T08:14:38,2023-06-13T08:14:38
503,flower pot,multi,52,5,2023-06-13T08:14:38,2023-06-13T08:14:38
504,green,multi,20,5,2023-06-13T08:14:38,2023-06-13T08:14:38
505,grey,multi,43,5,2023-06-13T08:14:38,2023-06-13T08:14:38
506,grey silver,multi,51,5,2023-06-13T08:14:38,2023-06-13T08:14:38
507,grey silver dark,multi,46,5,2023-06-13T08:14:38,2023-06-13T08:14:38
508,hulahop,multi,47,5,2023-06-13T08:14:38,2023-06-13T08:14:38
509,lavender,multi,36,5,2023-06-13T08:14:38,2023-06-13T08:14:38
510,lemon jazz,multi,51,5,2023-06-13T08:14:38,2023-06-13T08:14:38
511,maroon,multi,12,5,2023-06-13T08:14:38,2023-06-13T08:14:38
512,orange,multi,25,5,2023-06-13T08:14:38,2023-06-13T08:14:38
513,pepper green,multi,16,5,2023-06-13T08:14:38,2023-06-13T08:14:38
