id,color,type,stock,branchId,createdAt,updatedAt
106,apple green,pro,59,2,2023-06-13T08:14:38,2023-06-13T08:14:38
107,apple white,pro,38,2,2023-06-13T08:14:38,2023-06-13T08:14:38
108,avocado,pro,29,2,2023-06-13T08:14:38,2023-06-13T08:14:38
109,banana leaf,pro,31,2,2023-06-13T08:14:38,2023-06-13T08:14:38
110,black,pro,40,2,2023-06-13T08:14:38,2023-06-13T08:14:38
111,blue,pro,29,2,2023-06-13T08:14:38,2023-06-13T08:14:38
112,blue excellent,pro,22,2,2023-06-13T08:14:38,2023-06-13T08:14:38
113,blue white,pro,54,2,2023-06-13T08:14:38,2023-06-13T08:14:38
114,broken white,pro,45,2,2023-06-13T08:14:38,2023-06-13T08:14:38
115,chocolate,pro,25,2,2023-06-13T08:14:38,2023-06-13T08:14:38
116,cream,pro,15,2,2023-06-13T08:14:38,2023-06-13T08:14:38
117,cream gold,pro,53,2,2023-06-13T08:14:38,2023-06-13T08:14:38
118,flower pot,pro,29,2,2023-06-13T08:14:38,2023-06-13T08:14:38
119,green,pro,39,2,2023-06-13T08:14:38,2023-06-13T08:14:38
120,grey,pro,39,2,2023-06-13T08:14:38,2023-06-13T08:14:38
121,grey silver,pro,33,2,2023-06-13T08:14:38,2023-06-13T08:14:38
122,lemon,pro,33,2,2023-06-13T08:14:38,2023-06-13T08:14:38
123,malachite,pro,53,2,2023-06-13T08:14:38,2023-06-13T08:14:38
124,orange,pro,10,2,2023-06-13T08:14:38,2023-06-13T08:14:38
125,perfect pink,pro,46,2,2023-06-13T08:14:38,2023-06-13T08:14:38
126,pink,pro,36,2,2023-06-13T08:14:38,2023-06-13T08:14:38
127,pink mambo,pro,35,2,2023-06-13T08:14:38,2023-06-13T08:14:38
128,red coral,pro,50,2,2023-06-13T08:14:38,2023-06-13T08:14:38
129,salem,pro,30,2,2023-06-13T08:14:38,2023-06-13T08:14:38
130,stabilo,pro,55,2,2023-06-13T08:14:38,2023-06-13T08:14:38
131,Surf green,pro,53,2,2023-06-13T08:14:38,2023-06-13T08:14:38
132,violet,pro,21,2,2023-06-13T08:14:38,2023-06-13T08:14:38
133,white,pro,33,2,2023-06-13T08:14:38,2023-06-13T08:14:38
134,white excellent,pro,36,2,2023-06-13T08:14:38,2023-06-13T08:14:38
135,yellow,pro,48,2,2023-06-13T08:14:38,2023-06-13T08:14:38
136,yellow canary,pro,25,2,2023-06-13T08:14:38,2023-06-13T08:14:38
137,apple green,super,16,2,2023-06-13T08:14:38,2023-06-13T08:14:38
138,apple white,super,17,2,2023-06-13T08:14:38,2023-06-13T08:14:38
139,avocado,super,27,2,2023-06-13T08:14:38,2023-06-13T08:14:38
140,black,super,21,2,2023-06-13T08:14:38,2023-06-13T08:14:38
141,blue,super,36,2,2023-06-13T08:14:38,2023-06-13T08:14:38
142,blue excellent,super,11,2,2023-06-13T08:14:38,2023-06-13T08:14:38
143,blue white,super,15,2,2023-06-13T08:14:38,2023-06-13T08:14:38
144,bosco blue,super,43,2,2023-06-13T08:14:38,2023-06-13T08:14:38
145,broken white,super,57,2,2023-06-13T08:14:38,2023-06-13T08:14:38
146,caroline,super,11,2,2023-06-13T08:14:38,2023-06-13T08:14:38
147,cream,super,54,2,2023-06-13T08:14:38,2023-06-13T08:14:38
148,cream gold,super,20,2,2023-06-13T08:14:38,2023-06-13T08:14:38
149,flower pot,super,24,2,2023-06-13T08:14:38,2023-06-13T08:14:38
150,grey,super,33,2,2023-06-13T08:14:38,2023-06-13T08:14:38
151,grey silver,super,13,2,2023-06-13T08:14:38,2023-06-13T08:14:38
152,hulahop,super,54,2,2023-06-13T08:14:38,2023-06-13T08:14:38
153,lavender,super,40,2,2023-06-13T08:14:38,2023-06-13T08:14:38
154,lemon,super,27,2,2023-06-13T08:14:38,2023-06-13T08:14:38
155,lemon jazz,super,14,2,2023-06-13T08:14:38,2023-06-13T08:14:38
156,liberty,super,18,2,2023-06-13T08:14:38,2023-06-13T08:14:38
157,orange,super,13,2,2023-06-13T08:14:38,2023-06-13T08:14:38
158,peach,super,39,2,2023-06-13T08:14:38,2023-06-13T08:14:38
159,pepper green,super,31,2,2023-06-13T08:14:38,2023-06-13T08:14:38
160,pink,super,26,2,2023-06-13T08:14:38,2023-06-13T08:14:38
161,pink mambo,super,42,2,2023-06-13T08:14:38,2023-06-13T08:14:38
162,red,super,58,2,2023-06-13T08:14:38,2023-06-13T08:14:38
163,red coral,super,16,2,2023-06-13T08:14:38,2023-06-13T08:14:38
164,red mambo,super,15,2,2023-06-13T08:14:38,2023-06-13T08:14:38
165,stabilo,super,51,2,2023-06-13T08:14:38,2023-06-13T08:14:38
166,sun flower,super,55,2,2023-06-13T08:14:38,2023-06-13T08:14:38
167,Surf green,super,42,2,2023-06-13T08:14:38,2023-06-13T08:14:38
