id,color,type,stock,branchId,createdAt,updatedAt
211,apple green,pro,59,3,2023-06-13T08:14:38,2023-06-13T08:14:38
212,apple white,pro,38,3,2023-06-13T08:14:38,2023-06-13T08:14:38
213,avocado,pro,29,3,2023-06-13T08:14:38,2023-06-13T08:14:38
214,banana leaf,pro,31,3,2023-06-13T08:14:38,2023-06-13T08:14:38
215,black,pro,40,3,2023-06-13T08:14:38,2023-06-13T08:14:38
216,blue,pro,29,3,2023-06-13T08:14:38,2023-06-13T08:14:38
217,blue excellent,pro,22,3,2023-06-13T08:14:38,2023-06-13T08:14:38
218,blue white,pro,54,3,2023-06-13T08:14:38,2023-06-13T08:14:38
219,broken white,pro,45,3,2023-06-13T08:14:38,2023-06-13T08:14:38
220,chocolate,pro,25,3,2023-06-13T08:14:38,2023-06-13T08:14:38
221,cream,pro,15,3,2023-06-13T08:14:38,2023-06-13T08:14:38
222,cream gold,pro,53,3,2023-06-13T08:14:38,2023-06-13T08:14:38
223,flower pot,pro,29,3,2023-06-13T08:14:38,2023-06-13T08:14:38
224,green,pro,39,3,2023-06-13T08:14:38,2023-06-13T08:14:38
225,grey,pro,39,3,2023-06-13T08:14:38,2023-06-13T08:14:38
226,grey silver,pro,33,3,2023-06-13T08:14:38,2023-06-13T08:14:38
227,lemon,pro,33,3,2023-06-13T08:14:38,2023-06-13T08:14:38
228,malachite,pro,53,3,2023-06-13T08:14:38,2023-06-13T08:14:38
229,orange,pro,10,3,2023-06-13T08:14:38,2023-06-13T08:14:38
230,perfect pink,pro,46,3,2023-06-13T08:14:38,2023-06-13T08:14:38
231,pink,pro,36,3,2023-06-13T08:14:38,2023-06-13T08:14:38
232,pink mambo,pro,35,3,2023-06-13T08:14:38,2023-06-13T08:14:38
233,red coral,pro,50,3,2023-06-13T08:14:38,2023-06-13T08:14:38
234,salem,pro,30,3,2023-06-13T08:14:38,2023-06-13T08:14:38
235,stabilo,pro,55,3,2023-06-13T08:14:38,2023-06-13T08:14:38
236,Surf green,pro,53,3,2023-06-13T08:14:38,2023-06-13T08:14:38
237,violet,pro,21,3,2023-06-13T08:14:38,2023-06-13T08:14:38
238,white,pro,33,3,2023-06-13T08:14:38,2023-06-13T08:14:38
239,white excellent,pro,36,3,2023-06-13T08:14:38,2023-06-13T08:14:38
240,yellow,pro,48,3,2023-06-13T08:14:38,2023-06-13T08:14:38
241,yellow canary,pro,25,3,2023-06-13T08:14:38,2023-06-13T08:14:38
242,apple green,super,16,3,2023-06-13T08:14:38,2023-06-13T08:14:38
243,apple white,super,17,3,2023-06-13T08:14:38,2023-06-13T08:14:38
244,avocado,super,27,3,2023-06-13T08:14:38,2023-06-13T08:14:38
245,black,super,21,3,2023-06-13T08:14:38,2023-06-13T08:14:38
246,blue,super,36,3,2023-06-13T08:14:38,2023-06-13T08:14:38
247,blue excellent,super,11,3,2023-06-13T08:14:38,2023-06-13T08:14:38
248,blue white,super,15,3,2023-06-13T08:14:38,2023-06-13T08:14:38
249,bosco blue,super,43,3,2023-06-13T08:14:38,2023-06-13T08:14:38
250,broken white,super,57,3,2023-06-13T08:14:38,2023-06-13T08:14:38
251,caroline,super,11,3,2023-06-13T08:14:38,2023-06-13T08:14:38
252,cream,super,54,3,2023-06-13T08:14:38,2023-06-13T08:14:38
253,cream gold,super,20,3,2023-06-13T08:14:38,2023-06-13T08:14:38
254,flower pot,super,24,3,2023-06-13T08:14:38,2023-06-13T08:14:38
255,grey,super,33,3,2023-06-13T08:14:38,2023-06-13T08:14:38
256,grey silver,super,13,3,2023-06-13T08:14:38,2023-06-13T08:14:38
257,hulahop,super,54,3,2023-06-13T08:14:38,2023-06-13T08:14:38
258,lavender,super,40,3,2023-06-13T08:14:38,2023-06-13T08:14:38
259,lemon,super,27,3,2023-06-13T08:14:38,2023-06-13T08:14:38
260,lemon jazz,super,14,3,2023-06-13T08:14:38,2023-06-13T08:14:38
261,liberty,super,18,3,2023-06-13T08:14:38,2023-06-13T08:14:38
262,orange,super,13,3,2023-06-13T08:14:38,2023-06-13T08:14:38
263,peach,super,39,3,2023-06-13T08:14:38,2023-06-13T08:14:38
264,pepper green,super,31,3,2023-06-13T08:14:38,2023-06-13T08:14:38
265,pink,super,26,3,2023-06-13T08:14:38,2023-06-13T08:14:38
266,pink mambo,super,42,3,2023-06-13T08:14:38,2023-06-13T08:14:38
267,red,super,58,3,2023-06-13T08:14:38,2023-06-13T08:14:38
268,red coral,super,16,3,2023-06-13T08:14:38,2023-06-13T08:14:38
269,red mambo,super,15,3,2023-06-13T08:14:38,2023-06-13T08:14:38
270,stabilo,super,51,3,2023-06-13T08:14:38,2023-06-13T08:14:38
271,sun flower,super,55,3,2023-06-13T08:14:38,2023-06-13T08:14:38
272,Surf green,super,42,3,2023-06-13T08:14:38,2023-06-13T08:14:38
273,violet,super,28,3,2023-06-13T08:14:38,2023-06-13T08:14:38
274,white,super,44,3,2023-06-13T08:14:38,2023-06-13T08:14:38
275,white excellent,super,55,3,2023-06-13T08:14:38,2023-06-13T08:14:38
276,yellow,super,58,3,2023-06-13T08:14:38,2023-06-13T08:14:38
277,apple green,multi,52,3,2023-06-13T08:14:38,2023-06-13T08:14:38
278,apple white,multi,49,3,2023-06-13T08:14:38,2023-06-13T08:14:38
279,avocado,multi,39,3,2023-06-13T08:14:38,2023-06-13T08:14:38
280,black,multi,50,3,2023-06-13T08:14:38,2023-06-13T08:14:38
281,black brown,multi,37,3,2023-06-13T08:14:38,2023-06-13T08:14:38
282,blue,multi,58,3,2023-06-13T08:14:38,2023-06-13T08:14:38
283,blue white,multi,10,3,2023-06-13T08:14:38,2023-06-13T08:14:38
284,besco blue,multi,57,3,2023-06-13T08:14:38,2023-06-13T08:14:38
285,broken white,multi,28,3,2023-06-13T08:14:38,2023-06-13T08:14:38
286,brown,multi,28,3,2023-06-13T08:14:38,2023-06-13T08:14:38
287,caramel,multi,38,3,2023-06-13T08:14:38,2023-06-13T08:14:38
288,cherry natural,multi,13,3,2023-06-13T08:14:38,2023-06-13T08:14:38
289,chili red,multi,56,3,2023-06-13T08:14:38,2023-06-13T08:14:38
290,cream,multi,38,3,2023-06-13T08:14:38,2023-06-13T08:14:38
291,cream gold,multi,51,3,2023-06-13T08:14:38,2023-06-13T08:14:38
292,cyanine blue,multi,20,3,2023-06-13T08:14:38,2023-06-13T08:14:38
293,flower pot,multi,52,3,2023-06-13T08:14:38,2023-06-13T08:14:38
294,green,multi,20,3,2023-06-13T08:14:38,2023-06-13T08:14:38
295,grey,multi,43,3,2023-06-13T08:14:38,2023-06-13T08:14:38
296,grey silver,multi,51,3,2023-06-13T08:14:38,2023-06-13T08:14:38
297,grey silver dark,multi,46,3,2023-06-13T08:14:38,2023-06-13T08:14:38
298,hulahop,multi,47,3,2023-06-13T08:14:38,2023-06-13T08:14:38
299,lavender,multi,36,3,2023-06-13T08:14:38,2023-06-13T08:14:38
300,lemon jazz,multi,51,3,2023-06-13T08:14:38,2023-06-13T08:14:38
301,maroon,multi,12,3,2023-06-13T08:14:38,2023-06-13T08:14:38
302,orange,multi,25,3,2023-06-13T08:14:38,2023-06-13T08:14:38
303,pepper green,multi,16,3,2023-06-13T08:14:38,2023-06-13T08:14:38
304,pink,multi,17,3,2023-06-13T08:14:38,2023-06-13T08:14:38
305,pink mambo,multi,44,3,2023-06-13T08:14:38,2023-06-13T08:14:38
306,red mambo,multi,51,3,2023-06-13T08:14:38,2023-06-13T08:14:38
307,stabilo,multi,42,3,2023-06-13T08:14:38,2023-06-13T08:14:38
308,sun flower,multi,21,3,2023-06-13T08:14:38,2023-06-13T08:14:38
309,Surf green,multi,18,3,2023-06-13T08:14:38,2023-06-13T08:14:38
310,violet,multi,58,3,2023-06-13T08:14:38,2023-06-13T08:14:38
311,white,multi,52,3,2023-06-13T08:14:38,2023-06-13T08:14:38
312,white excellent,multi,54,3,2023-06-13T08:14:38,2023-06-13T08:14:38
313,yellow,multi,46,3,2023-06-13T08:14:38,2023-06-13T08:14:38
314,putih tulang,multi,54,3,2023-06-13T08:14:38,2023-06-13T08:14:38
315,horizon,multi,21,3,2023-06-13T08:14:38,2023-06-13T08:14:38
